%%++%% moot/WASTE output for model=en-wsj (WORD "\t" OFFSET LENGTH "\t" FEATURES)
BIRDS	0 5	alpha,cap,a0,l5,b1,s1,S0,w1
man^-	158791 5	alpha,lo,a0,l3,b1,s0,S0,w1 $~,*,a0,l0,b0,s0,S0,w0 $-,*,a0,l0,b0,s0,S0,w0
other	158797 5	stop,lo,a0,l5,b1,s0,S0,w1
Siskins	158803 7	alpha,up,a0,lN,b1,s0,S0,w1
at	158811 2	stop,lo,a0,l3,b1,s0,S0,w1
various	158814 7	alpha,lo,a0,lN,b1,s0,S0,w1
times	158822 5	alpha,lo,a0,l5,b1,s0,S0,w1
,	158827 1	$,,*,a0,l0,b0,s0,S0,w1
sometimes	158829 9	alpha,lo,a0,lN,b1,s0,S0,w1
three	158839 5	alpha,lo,a0,l5,b1,s0,S0,w1
or	158845 2	stop,lo,a0,l3,b1,s0,S0,w1
four	158848 4	alpha,lo,a0,l5,b1,s0,S0,w1
pairs	158853 5	alpha,lo,a0,l5,b1,s0,S0,w1
together	158859 8	alpha,lo,a0,lN,b1,s0,S0,w1
;	158868 1	stop,cap,a0,l3,b1,s0,S0,w1
they	158870 4	stop,lo,a0,l5,b1,s0,S0,w1
have	158875 4	stop,lo,a0,l5,b1,s0,S0,w1
alwaj	158880 5	alpha,lo,a0,l5,b1,s0,S0,w1
'S	158885 2	$',*,a0,l0,b0,s0,S0,w1 stop,cap,a0,l1,b0,s0,S0,w0
become	158888 6	alpha,lo,a0,lN,b1,s0,S0,w1
very	158895 4	stop,lo,a0,l5,b1,s0,S0,w1
tame	158900 4	alpha,lo,a0,l5,b1,s0,S0,w1
in	158905 2	stop,lo,a0,l3,b1,s0,S0,w1
a	158908 1	stop,lo,a0,l1,b1,s0,S0,w1
snrprisingh	158910 11	alpha,lo,a0,lN,b1,s0,S0,w1
'	158921 1	$',*,a0,l0,b0,s0,S0,w1
short	158923 5	alpha,lo,a0,l5,b1,s0,S0,w1
period	158929 6	alpha,lo,a0,lN,b1,s0,S0,w1
,	158935 1	$,,*,a0,l0,b0,s0,S0,w1
and	158937 3	stop,lo,a0,l3,b1,s0,S0,w1
have	158941 4	stop,lo,a0,l5,b1,s0,S0,w1
been	158946 4	stop,lo,a0,l5,b1,s0,S0,w1
altogether	158951 10	alpha,lo,a0,lN,b1,s0,S0,w1
delightful	158962 10	alpha,lo,a0,lN,b1,s0,S0,w1
pets	158973 4	alpha,lo,a0,l5,b1,s0,S0,w1
;	158978 1	stop,up,a0,lN,b1,s0,S0,w1
but	158980 3	stop,lo,a0,l3,b1,s0,S0,w1
most	158984 4	stop,lo,a0,l5,b1,s0,S0,w1
of	158989 2	stop,lo,a0,l3,b1,s0,S0,w1
them	158992 4	stop,lo,a0,l5,b1,s0,S0,w1
have	158997 4	stop,lo,a0,l5,b1,s0,S0,w1
died	159002 4	alpha,lo,a0,l5,b1,s0,S0,w1
within	159007 6	alpha,lo,a0,lN,b1,s0,S0,w1
a	159014 1	stop,lo,a0,l1,b1,s0,S0,w1
few	159016 3	stop,lo,a0,l3,b1,s0,S0,w1
months	159020 6	alpha,lo,a0,lN,b1,s0,S0,w1
.	159026 1	$.,*,a0,l0,b0,s0,S1,w1

Siskins	159028 7	alpha,up,a0,lN,b1,s1,S0,w1
do	159036 2	stop,lo,a0,l3,b1,s0,S0,w1
not	159039 3	stop,lo,a0,l3,b1,s0,S0,w1
seem	159043 4	alpha,lo,a0,l5,b1,s0,S0,w1
to	159048 2	stop,lo,a0,l3,b1,s0,S0,w1
have	159051 4	stop,lo,a0,l5,b1,s0,S0,w1
anything	159056 8	alpha,lo,a0,lN,b1,s0,S0,w1
like	159065 4	alpha,lo,a0,l5,b1,s0,S0,w1
the	159070 3	stop,lo,a0,l3,b1,s0,S0,w1
constitution	159074 12	alpha,lo,a0,lN,b1,s0,S0,w1
of	159087 2	stop,lo,a0,l3,b1,s0,S0,w1
most	159090 4	stop,lo,a0,l5,b1,s0,S0,w1
Goldfinches	159095 11	alpha,up,a0,lN,b1,s0,S0,w1
.	159106 1	$.,*,a0,l0,b0,s0,S1,w1

One	159108 3	alpha,up,a0,l3,b1,s1,S0,w1
tame	159112 4	alpha,lo,a0,l5,b1,s0,S0,w1
little	159117 6	alpha,lo,a0,lN,b1,s0,S0,w1
hen	159124 3	alpha,lo,a0,l3,b1,s0,S0,w1
bird	159128 4	alpha,lo,a0,l5,b1,s0,S0,w1
,	159132 1	$,,*,a0,l0,b0,s0,S0,w1
however	159134 7	alpha,lo,a0,lN,b1,s0,S0,w1
,	159141 1	$,,*,a0,l0,b0,s0,S0,w1
lived	159143 5	alpha,lo,a0,l5,b1,s0,S0,w1
to	159149 2	stop,lo,a0,l3,b1,s0,S0,w1
a	159152 1	stop,lo,a0,l1,b1,s0,S0,w1
good	159154 4	alpha,lo,a0,l5,b1,s0,S0,w1
age	159159 3	alpha,lo,a0,l3,b1,s0,S0,w1
;	159163 1	stop,lo,a0,l3,b1,s0,S0,w1
and	159165 3	stop,lo,a0,l3,b1,s0,S0,w1
,	159168 1	$,,*,a0,l0,b0,s0,S0,w1
when	159170 4	stop,lo,a0,l5,b1,s0,S0,w1
she	159175 3	stop,lo,a0,l3,b1,s0,S0,w1
had	159179 3	stop,lo,a0,l3,b1,s0,S0,w1
lost	159183 4	alpha,lo,a0,l5,b1,s0,S0,w1
three	159188 5	alpha,lo,a0,l5,b1,s0,S0,w1
husbands	159194 8	alpha,lo,a0,lN,b1,s0,S0,w1
in	159203 2	stop,lo,a0,l3,b1,s0,S0,w1
succession	159206 10	alpha,lo,a0,lN,b1,s0,S0,w1
,	159216 1	$,,*,a0,l0,b0,s0,S0,w1
I	159218 1	stop,cap,a0,l1,b1,s0,S0,w1
caged	159220 5	alpha,lo,a0,l5,b1,s0,S0,w1
her	159226 3	stop,lo,a0,l3,b1,s0,S0,w1
and	159230 3	stop,lo,a0,l3,b1,s0,S0,w1
made	159234 4	alpha,lo,a0,l5,b1,s0,S0,w1
a	159239 1	stop,lo,a0,l1,b1,s0,S0,w1
regular	159241 7	alpha,lo,a0,lN,b1,s0,S0,w1
pet	159249 3	alpha,lo,a0,l3,b1,s0,S0,w1
of	159253 2	stop,lo,a0,l3,b1,s0,S0,w1
her	159256 3	stop,lo,a0,l3,b1,s0,S0,w1
.	159259 1	$.,*,a0,l0,b0,s0,S1,w1

After	159261 5	stop,up,a0,l5,b1,s1,S0,w1
six	159267 3	alpha,lo,a0,l3,b1,s0,S0,w1
months	159271 6	alpha,lo,a0,lN,b1,s0,S0,w1
I	159278 1	stop,cap,a0,l1,b1,s0,S0,w1
wearied	159280 7	alpha,lo,a0,lN,b1,s0,S0,w1
of	159288 2	stop,lo,a0,l3,b1,s0,S0,w1
the	159291 3	stop,lo,a0,l3,b1,s0,S0,w1
extra	159295 5	alpha,lo,a0,l5,b1,s0,S0,w1
labour	159301 6	alpha,lo,a0,lN,b1,s0,S0,w1
(	159308 1	$(,*,a0,l0,b1,s0,S0,w1
every	159309 5	alpha,lo,a0,l5,b0,s0,S0,w1
separate	159315 8	alpha,lo,a0,lN,b1,s0,S0,w1
cage	159324 4	alpha,lo,a0,l5,b1,s0,S0,w1
adding	159329 6	alpha,lo,a0,lN,b1,s0,S0,w1
to	159336 2	stop,lo,a0,l3,b1,s0,S0,w1
the	159339 3	stop,lo,a0,l3,b1,s0,S0,w1
time	159343 4	alpha,lo,a0,l5,b1,s0,S0,w1
occupied	159348 8	alpha,lo,a0,lN,b1,s0,S0,w1
in	159357 2	stop,lo,a0,l3,b1,s0,S0,w1
providing	159360 9	alpha,lo,a0,lN,b1,s0,S0,w1
for	159370 3	stop,lo,a0,l3,b1,s0,S0,w1
m	159374 1	stop,lo,a0,l1,b1,s0,S0,w1
}	159375 1	$),*,a0,l0,b0,s0,S0,w1
'	159376 1	$',*,a0,l0,b0,s0,S0,w1
large	159378 5	alpha,lo,a0,l5,b1,s0,S0,w1
family	159384 6	alpha,lo,a0,lN,b1,s0,S0,w1
)	159390 1	$),*,a0,l0,b0,s0,S0,w1
;	159392 1	stop,up,a0,lN,b1,s0,S0,w1
I	159394 1	stop,cap,a0,l1,b1,s0,S0,w1
,	159395 1	$,,*,a0,l0,b0,s0,S0,w1
therefore	159397 9	alpha,lo,a0,lN,b1,s0,S0,w1
,	159406 1	$,,*,a0,l0,b0,s0,S0,w1
turned	159408 6	alpha,lo,a0,lN,b1,s0,S0,w1
Cissie	159415 6	alpha,up,a0,lN,b1,s0,S0,w1
,	159421 1	$,,*,a0,l0,b0,s0,S0,w1
as	159423 2	stop,lo,a0,l3,b1,s0,S0,w1
I	159426 1	stop,cap,a0,l1,b1,s0,S0,w1
called	159428 6	alpha,lo,a0,lN,b1,s0,S0,w1
her	159435 3	stop,lo,a0,l3,b1,s0,S0,w1
,	159438 1	$,,*,a0,l0,b0,s0,S0,w1
into	159440 4	stop,lo,a0,l5,b1,s0,S0,w1
one	159445 3	alpha,lo,a0,l3,b1,s0,S0,w1
of	159449 2	stop,lo,a0,l3,b1,s0,S0,w1
my	159452 2	stop,lo,a0,l3,b1,s0,S0,w1
bird-room	159455 9	alpha,lo,a0,l5,b1,s0,S0,w1 $-,*,a0,l0,b0,s0,S0,w0 alpha,lo,a0,l5,b0,s0,S0,w0
aviaries	159465 8	alpha,lo,a0,lN,b1,s0,S0,w1
;	159474 1	stop,lo,a0,l3,b1,s0,S0,w1
but	159476 3	stop,lo,a0,l3,b1,s0,S0,w1
she	159480 3	stop,lo,a0,l3,b1,s0,S0,w1
had	159484 3	stop,lo,a0,l3,b1,s0,S0,w1
forgotten	159488 9	alpha,lo,a0,lN,b1,s0,S0,w1
all	159498 3	stop,lo,a0,l3,b1,s0,S0,w1
about	159502 5	stop,lo,a0,l5,b1,s0,S0,w1
libert	159508 6	alpha,lo,a0,lN,b1,s0,S0,w1
}	159514 1	$),*,a0,l0,b0,s0,S0,w1
^	159515 1	$~,*,a0,l0,b0,s0,S0,w1
flew	159517 4	alpha,lo,a0,l5,b1,s0,S0,w1
wildly	159522 6	alpha,lo,a0,lN,b1,s0,S0,w1
against	159529 7	stop,lo,a0,lN,b1,s0,S0,w1
the	159537 3	stop,lo,a0,l3,b1,s0,S0,w1
wires	159541 5	alpha,lo,a0,l5,b1,s0,S0,w1
in	159547 2	stop,lo,a0,l3,b1,s0,S0,w1
the	159550 3	stop,lo,a0,l3,b1,s0,S0,w1
greatest	159554 8	alpha,lo,a0,lN,b1,s0,S0,w1
terror	159563 6	alpha,lo,a0,lN,b1,s0,S0,w1
,	159569 1	$,,*,a0,l0,b0,s0,S0,w1
and	159571 3	stop,lo,a0,l3,b1,s0,S0,w1
presentl	159575 8	alpha,lo,a0,lN,b1,s0,S0,w1
}	159583 1	$),*,a0,l0,b0,s0,S0,w1
'	159584 1	$',*,a0,l0,b0,s0,S0,w1
settled	159586 7	alpha,lo,a0,lN,b1,s0,S0,w1
down	159594 4	stop,lo,a0,l5,b1,s0,S0,w1
in	159599 2	stop,lo,a0,l3,b1,s0,S0,w1
a	159602 1	stop,lo,a0,l1,b1,s0,S0,w1
corner	159604 6	alpha,lo,a0,lN,b1,s0,S0,w1
with	159611 4	stop,lo,a0,l5,b1,s0,S0,w1
her	159616 3	stop,lo,a0,l3,b1,s0,S0,w1
face	159620 4	alpha,lo,a0,l5,b1,s0,S0,w1
to	159625 2	stop,lo,a0,l3,b1,s0,S0,w1
the	159628 3	stop,lo,a0,l3,b1,s0,S0,w1
wall	159632 4	alpha,lo,a0,l5,b1,s0,S0,w1
;	159637 1	stop,up,a0,l5,b1,s0,S0,w1
having	159639 6	stop,lo,a0,lN,b1,s0,S0,w1
evidently	159646 9	alpha,lo,a0,lN,b1,s0,S0,w1
decided	159656 7	alpha,lo,a0,lN,b1,s0,S0,w1
thas	159664 4	alpha,lo,a0,l5,b1,s0,S0,w1
life	159669 4	alpha,lo,a0,l5,b1,s0,S0,w1
was	159674 3	stop,lo,a0,l3,b1,s0,S0,w1
no	159678 2	stop,lo,a0,l3,b1,s0,S0,w1
longer	159681 6	alpha,lo,a0,lN,b1,s0,S0,w1
worth	159688 5	alpha,lo,a0,l5,b1,s0,S0,w1
having	159694 6	stop,lo,a0,lN,b1,s0,S0,w1
:	159701 1	$:,*,a0,l0,b1,s1,S0,w1
I	159703 1	stop,cap,a0,l1,b1,s0,S0,w1
,	159704 1	$,,*,a0,l0,b0,s0,S0,w1
therefore	159706 9	alpha,lo,a0,lN,b1,s0,S0,w1
,	159715 1	$,,*,a0,l0,b0,s0,S0,w1
picked	159717 6	alpha,lo,a0,lN,b1,s0,S0,w1
her	159724 3	stop,lo,a0,l3,b1,s0,S0,w1
up	159728 2	stop,lo,a0,l3,b1,s0,S0,w1
and	159731 3	stop,lo,a0,l3,b1,s0,S0,w1
restored	159735 8	alpha,lo,a0,lN,b1,s0,S0,w1
her	159744 3	stop,lo,a0,l3,b1,s0,S0,w1
to	159748 2	stop,lo,a0,l3,b1,s0,S0,w1
her	159751 3	stop,lo,a0,l3,b1,s0,S0,w1
cage	159755 4	alpha,lo,a0,l5,b1,s0,S0,w1
,	159759 1	$,,*,a0,l0,b0,s0,S0,w1
where	159761 5	stop,lo,a0,l5,b1,s0,S0,w1
she	159767 3	stop,lo,a0,l3,b1,s0,S0,w1
sat	159771 3	alpha,lo,a0,l3,b1,s0,S0,w1
looking	159775 7	alpha,lo,a0,lN,b1,s0,S0,w1
stupid	159783 6	alpha,lo,a0,lN,b1,s0,S0,w1
for	159790 3	stop,lo,a0,l3,b1,s0,S0,w1
half-an-hour	159794 12	alpha,lo,a0,l5,b1,s0,S0,w1 $-,*,a0,l0,b0,s0,S0,w0 stop,lo,a0,l3,b0,s0,S0,w0 $-,*,a0,l0,b0,s0,S0,w0 alpha,lo,a0,l5,b0,s0,S0,w0
before	159807 6	stop,lo,a0,lN,b1,s0,S0,w1
she	159814 3	stop,lo,a0,l3,b1,s0,S0,w1
recovered	159818 9	alpha,lo,a0,lN,b1,s0,S0,w1
.	159827 1	$.,*,a0,l0,b0,s0,S1,w1

I	159829 1	stop,cap,a0,l1,b1,s1,S0,w1
subsequently	159831 12	alpha,lo,a0,lN,b1,s0,S0,w1
gave	159844 4	alpha,lo,a0,l5,b1,s0,S0,w1
this	159849 4	stop,lo,a0,l5,b1,s0,S0,w1
bird	159854 4	alpha,lo,a0,l5,b1,s0,S0,w1
to	159859 2	stop,lo,a0,l3,b1,s0,S0,w1
a	159862 1	stop,lo,a0,l1,b1,s0,S0,w1
3'	159864 2	num,*,a0,l1,b1,s0,S0,w1 $',*,a0,l0,b0,s0,S0,w0
oung	159866 4	alpha,lo,a0,l5,b0,s0,S0,w1
lady	159871 4	alpha,lo,a0,l5,b1,s0,S0,w1
,	159875 1	$,,*,a0,l0,b0,s0,S0,w1
who	159877 3	stop,lo,a0,l3,b1,s0,S0,w1
christened	159881 10	alpha,lo,a0,lN,b1,s0,S0,w1
her	159892 3	stop,lo,a0,l3,b1,s0,S0,w1
Priscilla	159896 9	alpha,up,a0,lN,b1,s0,S0,w1
,	159905 1	$,,*,a0,l0,b0,s0,S0,w1
and	159907 3	stop,lo,a0,l3,b1,s0,S0,w1
made	159911 4	alpha,lo,a0,l5,b1,s0,S0,w1
much	159916 4	alpha,lo,a0,l5,b1,s0,S0,w1
of	159921 2	stop,lo,a0,l3,b1,s0,S0,w1
her	159924 3	stop,lo,a0,l3,b1,s0,S0,w1
to	159928 2	stop,lo,a0,l3,b1,s0,S0,w1
the	159931 3	stop,lo,a0,l3,b1,s0,S0,w1
day	159935 3	alpha,lo,a0,l3,b1,s0,S0,w1
of	159939 2	stop,lo,a0,l3,b1,s0,S0,w1
her	159942 3	stop,lo,a0,l3,b1,s0,S0,w1
death	159946 5	alpha,lo,a0,l5,b1,s0,S0,w1
about	159952 5	stop,lo,a0,l5,b1,s0,S0,w1
a	159958 1	stop,lo,a0,l1,b1,s0,S0,w1
year	159960 4	alpha,lo,a0,l5,b1,s0,S0,w1
later	159965 5	alpha,lo,a0,l5,b1,s0,S0,w1
.	159970 1	$.,*,a0,l0,b0,s0,S1,w1

Family-	159973 7	alpha,up,a0,lN,b1,s1,S0,w1 $-,*,a0,l0,b0,s0,S0,w0
FRINGILLIDyE	159981 12	alpha,up,a0,lN,b1,s0,S0,w1
.	159993 1	$.,*,a0,l0,b0,s0,S1,w1

Subfamily-	159996 10	alpha,up,a0,lN,b1,s1,S0,w1 $-,*,a0,l0,b0,s0,S0,w0
FKINGILLIN	160007 10	alpha,cap,a0,lN,b1,s0,S0,w1
.F	160017 2	$.,*,a0,l0,b0,s0,S1,w1 alpha,cap,a0,l1,b0,s0,S0,w0
.	160019 1	$.,*,a0,l0,b0,s0,S1,w1

The	160022 3	stop,up,a0,l3,b1,s1,S0,w1
Citril	160026 6	alpha,up,a0,lN,b1,s0,S0,w1
Finch	160033 5	alpha,up,a0,l5,b1,s0,S0,w1
.	160038 1	$.,*,a0,l0,b0,s0,S1,w1

CJuysoinilt	160041 11	alpha,up,a0,lN,b1,s1,S0,w1
is	160053 2	stop,lo,a0,l3,b1,s0,S0,w1
ciirinclla	160056 10	alpha,lo,a0,lN,b1,s0,S0,w1
,	160066 1	$,,*,a0,l0,b0,s0,S0,w1
LiNN	160068 4	alpha,up,a0,l5,b1,s0,S0,w1
.	160072 1	$.,*,a0,l0,b0,s0,S1,w1

AN	160075 2	stop,cap,a0,l3,b1,s1,S0,w1
example	160078 7	alpha,lo,a0,lN,b1,s0,S0,w1
was	160086 3	stop,lo,a0,l3,b1,s0,S0,w1
caught	160090 6	alpha,lo,a0,lN,b1,s0,S0,w1
by	160097 2	stop,lo,a0,l3,b1,s0,S0,w1
a	160100 1	stop,lo,a0,l1,b1,s0,S0,w1
Yarmoutli	160102 9	alpha,up,a0,lN,b1,s0,S0,w1
bird-catcher	160112 12	alpha,lo,a0,l5,b1,s0,S0,w1 $-,*,a0,l0,b0,s0,S0,w0 alpha,lo,a0,lN,b0,s0,S0,w0
on	160125 2	stop,lo,a0,l3,b1,s0,S0,w1
January	160128 7	alpha,up,a0,lN,b1,s0,S0,w1
29th	160136 4	num,*,a0,l3,b1,s0,S0,w1 alpha,lo,a0,l3,b0,s0,S0,w0
,	160140 1	$,,*,a0,l0,b0,s0,S0,w1
1904	160142 4	num,*,a0,l5,b1,s0,S0,w1
.	160146 1	$.,*,a0,l0,b0,s0,S1,w1

Family-	160148 7	alpha,up,a0,lN,b1,s1,S0,w1 $-,*,a0,l0,b0,s0,S0,w0
FRIXG	160156 5	alpha,cap,a0,l5,b1,s0,S0,w1
ILL	160162 3	rom,*,a0,l3,b1,s0,S0,w1
ID	160166 2	rom,*,a0,l3,b1,s0,S0,w1
.	160168 1	$.,*,a0,l0,b0,s0,S1,w1

E.	160170 2	alpha,cap,a0,l1,b1,s1,S0,w1 $.,*,a0,l0,b0,s0,S0,w0
Sii/La	160174 6	alpha,up,a0,l3,b1,s0,S0,w1 $/,*,a0,l0,b0,s0,S0,w0 alpha,up,a0,l3,b0,s0,S0,w0
,uily-LKL\	160180 10	$,,*,a0,l0,b0,s0,S0,w1 alpha,lo,a0,l5,b0,s0,S0,w0 $-,*,a0,l0,b0,s0,S0,w0 alpha,cap,a0,l3,b0,s0,S0,w0 $/,*,a0,l0,b0,s0,S0,w0
'	160191 1	$',*,a0,l0,b1,s0,S0,w1
(	160192 1	$(,*,a0,l0,b0,s0,S0,w1
i/L	160194 3	stop,lo,a0,l1,b1,s0,S0,w1 $/,*,a0,l0,b0,s0,S0,w0 rom,*,a0,l1,b0,s0,S0,w0
L	160198 1	rom,*,a0,l1,b1,s0,S0,w1
LW	160200 2	alpha,cap,a0,l3,b1,s0,S0,w1
E	160203 1	alpha,cap,a0,l1,b1,s0,S0,w1
.	160204 1	$.,*,a0,l0,b0,s0,S1,w1

The	160207 3	stop,up,a0,l3,b1,s1,S0,w1
Goldfinch	160211 9	alpha,up,a0,lN,b1,s0,S0,w1
.	160220 1	$.,*,a0,l0,b0,s0,S1,w1

CdJ-LucIis	160223 10	alpha,up,a0,l3,b1,s1,S0,w1 $-,*,a0,l0,b0,s0,S0,w0 alpha,up,a0,lN,b0,s0,S0,w0
clci	160234 4	rom,*,a0,l5,b1,s0,S0,w1
^	160238 1	$~,*,a0,l0,b0,s0,S0,w1
a	160239 1	stop,lo,a0,l1,b0,s0,S0,w1
)	160240 1	$),*,a0,l0,b0,s0,S0,w1
is	160241 2	stop,lo,a0,l3,b0,s0,S0,w1
,	160243 1	$,,*,a0,l0,b0,s0,S0,w1
vSteph	160245 6	alpha,lo,a0,lN,b1,s0,S0,w1
.	160251 1	$.,*,a0,l0,b0,s0,S1,w1

DR	160254 2	alpha,cap,a0,l3,b1,s1,S0,w1
.	160256 1	$.,*,a0,l0,b0,s0,S1,w1

SHARPE	160258 6	alpha,cap,a0,lN,b1,s1,S0,w1
states	160265 6	alpha,lo,a0,lN,b1,s0,S0,w1
that	160272 4	stop,lo,a0,l5,b1,s0,S0,w1
this	160277 4	stop,lo,a0,l5,b1,s0,S0,w1
bird	160282 4	alpha,lo,a0,l5,b1,s0,S0,w1
iuhabits	160287 8	alpha,lo,a0,lN,b1,s0,S0,w1
Europe	160296 6	alpha,up,a0,lN,b1,s0,S0,w1
generally	160303 9	alpha,lo,a0,lN,b1,s0,S0,w1
,	160312 1	$,,*,a0,l0,b0,s0,S0,w1
except	160314 6	alpha,lo,a0,lN,b1,s0,S0,w1
the	160321 3	stop,lo,a0,l3,b1,s0,S0,w1
extreme	160325 7	alpha,lo,a0,lN,b1,s0,S0,w1
north	160333 5	alpha,lo,a0,l5,b1,s0,S0,w1
;	160339 1	stop,up,a0,lN,b1,s0,S0,w1
the	160341 3	stop,lo,a0,l3,b1,s0,S0,w1
Canar	160345 5	alpha,up,a0,l5,b1,s0,S0,w1
}-	160350 2	$),*,a0,l0,b0,s0,S0,w1 $-,*,a0,l0,b0,s0,S0,w0
Islands	160353 7	alpha,up,a0,lN,b1,s0,S0,w1
,	160360 1	$,,*,a0,l0,b0,s0,S0,w1
Madeira	160362 7	alpha,up,a0,lN,b1,s0,S0,w1
,	160369 1	$,,*,a0,l0,b0,s0,S0,w1
and	160371 3	stop,lo,a0,l3,b1,s0,S0,w1
the	160375 3	stop,lo,a0,l3,b1,s0,S0,w1
countries	160379 9	alpha,lo,a0,lN,b1,s0,S0,w1
bordering	160389 9	alpha,lo,a0,lN,b1,s0,S0,w1
the	160399 3	stop,lo,a0,l3,b1,s0,S0,w1
Mediterranean	160403 13	alpha,up,a0,lN,b1,s0,S0,w1
:	160417 1	$:,*,a0,l0,b1,s1,S0,w1
it	160419 2	stop,lo,a0,l3,b1,s0,S0,w1
is	160422 2	stop,lo,a0,l3,b1,s0,S0,w1
a	160425 1	stop,lo,a0,l1,b1,s0,S0,w1
winter	160427 6	alpha,lo,a0,lN,b1,s0,S0,w1
visitant	160434 8	alpha,lo,a0,lN,b1,s0,S0,w1
to	160443 2	stop,lo,a0,l3,b1,s0,S0,w1
Eg3	160446 3	alpha,up,a0,l3,b1,s0,S0,w1 num,*,a0,l1,b0,s0,S0,w0
'pt	160449 3	$',*,a0,l0,b0,s0,S0,w1 alpha,lo,a0,l3,b0,s0,S0,w0
and	160453 3	stop,lo,a0,l3,b1,s0,S0,w1
Palestine	160457 9	alpha,up,a0,lN,b1,s0,S0,w1
.	160466 1	$.,*,a0,l0,b0,s0,S1,w1

In	160468 2	stop,up,a0,l3,b1,s1,S0,w1
Siberia	160471 7	alpha,up,a0,lN,b1,s0,S0,w1
it	160479 2	stop,lo,a0,l3,b1,s0,S0,w1
extends	160482 7	alpha,lo,a0,lN,b1,s0,S0,w1
to	160490 2	stop,lo,a0,l3,b1,s0,S0,w1
Omsk	160493 4	alpha,up,a0,l5,b1,s0,S0,w1
and	160498 3	stop,lo,a0,l3,b1,s0,S0,w1
Krasuo3-arsk	160502 12	alpha,up,a0,lN,b1,s0,S0,w1 num,*,a0,l1,b0,s0,S0,w0 $-,*,a0,l0,b0,s0,S0,w0 alpha,lo,a0,l5,b0,s0,S0,w0
,	160514 1	$,,*,a0,l0,b0,s0,S0,w1
and	160516 3	stop,lo,a0,l3,b1,s0,S0,w1
winters	160520 7	alpha,lo,a0,lN,b1,s0,S0,w1
in	160528 2	stop,lo,a0,l3,b1,s0,S0,w1
Turkestan	160531 9	alpha,up,a0,lN,b1,s0,S0,w1
.	160540 1	$.,*,a0,l0,b0,s0,S1,w1

In	160543 2	stop,up,a0,l3,b1,s1,S0,w1
Great	160546 5	alpha,up,a0,l5,b1,s0,S0,w1
Britain	160552 7	alpha,up,a0,lN,b1,s0,S0,w1
the	160560 3	stop,lo,a0,l3,b1,s0,S0,w1
Goldfinch	160564 9	alpha,up,a0,lN,b1,s0,S0,w1
is	160574 2	stop,lo,a0,l3,b1,s0,S0,w1
pretty	160577 6	alpha,lo,a0,lN,b1,s0,S0,w1
generally	160584 9	alpha,lo,a0,lN,b1,s0,S0,w1
distributed	160594 11	alpha,lo,a0,lN,b1,s0,S0,w1
throughout	160606 10	alpha,lo,a0,lN,b1,s0,S0,w1
England	160617 7	alpha,up,a0,lN,b1,s0,S0,w1
,	160624 1	$,,*,a0,l0,b0,s0,S0,w1
and	160626 3	stop,lo,a0,l3,b1,s0,S0,w1
in	160630 2	stop,lo,a0,l3,b1,s0,S0,w1
suitable	160633 8	alpha,lo,a0,lN,b1,s0,S0,w1
localites	160642 9	alpha,lo,a0,lN,b1,s0,S0,w1
in	160652 2	stop,lo,a0,l3,b1,s0,S0,w1
Scotland	160655 8	alpha,up,a0,lN,b1,s0,S0,w1
and	160664 3	stop,lo,a0,l3,b1,s0,S0,w1
Ireland	160668 7	alpha,up,a0,lN,b1,s0,S0,w1
,	160675 1	$,,*,a0,l0,b0,s0,S0,w1
though	160677 6	alpha,lo,a0,lN,b1,s0,S0,w1
the	160684 3	stop,lo,a0,l3,b1,s0,S0,w1
wholesale	160688 9	alpha,lo,a0,lN,b1,s0,S0,w1
destruction	160698 11	alpha,lo,a0,lN,b1,s0,S0,w1
of	160710 2	stop,lo,a0,l3,b1,s0,S0,w1
woods	160713 5	alpha,lo,a0,l5,b1,s0,S0,w1
,	160718 1	$,,*,a0,l0,b0,s0,S0,w1
plantations	160720 11	alpha,lo,a0,lN,b1,s0,S0,w1
and	160732 3	stop,lo,a0,l3,b1,s0,S0,w1
so-called	160736 9	stop,lo,a0,l3,b1,s0,S0,w1 $-,*,a0,l0,b0,s0,S0,w0 alpha,lo,a0,lN,b0,s0,S0,w0
waste	160746 5	alpha,lo,a0,l5,b1,s0,S0,w1
land	160752 4	alpha,lo,a0,l5,b1,s0,S0,w1
has	160757 3	stop,lo,a0,l3,b1,s0,S0,w1
rendered	160761 8	alpha,lo,a0,lN,b1,s0,S0,w1
the	160770 3	stop,lo,a0,l3,b1,s0,S0,w1
species	160774 7	alpha,lo,a0,lN,b1,s0,S0,w1
comparatively	160782 13	alpha,lo,a0,lN,b1,s0,S0,w1
rare	160796 4	alpha,lo,a0,l5,b1,s0,S0,w1
and	160801 3	stop,lo,a0,l3,b1,s0,S0,w1
local	160805 5	alpha,lo,a0,l5,b1,s0,S0,w1
in	160811 2	stop,lo,a0,l3,b1,s0,S0,w1
man	160814 3	alpha,lo,a0,l3,b1,s0,S0,w1
}-	160817 2	$),*,a0,l0,b0,s0,S0,w1 $-,*,a0,l0,b0,s0,S0,w0
parts	160820 5	alpha,lo,a0,l5,b1,s0,S0,w1
of	160826 2	stop,lo,a0,l3,b1,s0,S0,w1
Great	160829 5	alpha,up,a0,l5,b1,s0,S0,w1
Britain	160835 7	alpha,up,a0,lN,b1,s0,S0,w1
.	160842 1	$.,*,a0,l0,b0,s0,S1,w1

